,device,operation,datetime,unk1,F,clock,A,lat,N,lon,E,pitch,heading
8410,imei:864895033864933,tracker,220421204723,,F,184723.00,A,4035.96287,N,02257.58992,E,,
8412,imei:864895033864933,tracker,220421210451,,F,190451.00,A,4035.96046,N,02257.59662,E,,
8413,imei:864895033864933,tracker,220421211451,,F,191451.00,A,4035.96046,N,02257.59662,E,,
8414,imei:864895033864933,tracker,220421212451,,F,192451.00,A,4035.96046,N,02257.59662,E,,
8415,imei:864895033864933,tracker,220421213451,,F,193451.00,A,4035.96046,N,02257.59662,E,,
8416,imei:864895033864933,tracker,220421214451,,F,194451.00,A,4035.96046,N,02257.59662,E,,
8417,imei:864895033864933,tracker,220421215451,,F,195451.00,A,4035.96046,N,02257.59662,E,,
8418,imei:864895033864933,tracker,220421220451,,F,200451.00,A,4035.96046,N,02257.59662,E,,
8419,imei:864895033864933,tracker,220421221451,,F,201451.00,A,4035.96573,N,02257.58838,E,0.082,0
8420,imei:864895033864933,tracker,220421222451,,F,202451.00,A,4035.96636,N,02257.59052,E,,
8421,imei:864895033864933,tracker,220421223451,,F,203451.00,A,4035.96636,N,02257.59052,E,,
8422,imei:864895033864933,tracker,220421224451,,F,204451.00,A,4035.96636,N,02257.59052,E,,
8423,imei:864895033864933,tracker,220421225451,,F,205451.00,A,4035.96636,N,02257.59052,E,,
8424,imei:864895033864933,tracker,220421230451,,F,210451.00,A,4035.96636,N,02257.59052,E,,
8425,imei:864895033864933,tracker,220421231451,,F,211451.00,A,4035.96636,N,02257.59052,E,,
8426,imei:864895033864933,tracker,220421232451,,F,212451.00,A,4035.96636,N,02257.59052,E,,
8427,imei:864895033864933,tracker,220421233451,,F,213451.00,A,4035.96636,N,02257.59052,E,,
8428,imei:864895033864933,tracker,220421234451,,F,214451.00,A,4035.96636,N,02257.59052,E,,
8429,imei:864895033864933,tracker,220421235451,,F,215451.00,A,4035.96636,N,02257.59052,E,,
8430,imei:864895033864933,tracker,220422000451,,F,220451.00,A,4035.96636,N,02257.59052,E,,
8431,imei:864895033864933,tracker,220422001451,,F,221451.00,A,4035.96624,N,02257.59381,E,,
8432,imei:864895033864933,tracker,220422002451,,F,222451.00,A,4035.96624,N,02257.59381,E,,
8433,imei:864895033864933,tracker,220422003451,,F,223451.00,A,4035.96624,N,02257.59381,E,,
8434,imei:864895033864933,tracker,220422004451,,F,224451.00,A,4035.96624,N,02257.59381,E,,
8435,imei:864895033864933,tracker,220422005451,,F,225451.00,A,4035.96624,N,02257.59381,E,,
