packet,device,operation,datetime,unk1,F,clock,A,lat,N,lon,E,pitch,heading
0,imei:864895033864933,tracker,220321110230,,F,090230.00,A,4033.46663,N,02301.35009,E,,
1,imei:864895033864933,tracker,220321113815,,F,093815.00,A,4033.47385,N,02301.33393,E,,
2,imei:864895033864933,tracker,220321114815,,F,094815.00,A,4033.47385,N,02301.33393,E,,
3,imei:864895033864933,tracker,220321115815,,F,095815.00,A,4033.47385,N,02301.33393,E,,
4,imei:864895033864933,tracker,220321120815,,F,100815.00,A,4033.47385,N,02301.33393,E,,
5,imei:864895033864933,acc on,220321155831,,F,135831.00,A,4033.47617,N,02301.33118,E,0.104,0
6,imei:864895033864933,acc off,220321162048,,F,142048.00,A,4035.94596,N,02257.52412,E,0.040,0
7,imei:864895033864933,tracker,220322012806,,F,232806.00,A,4035.94663,N,02257.52284,E,,
8,imei:864895033864933,tracker,220322013806,,F,233806.00,A,4035.94663,N,02257.52284,E,,
9,imei:864895033864933,tracker,220322014806,,F,234806.00,A,4035.94663,N,02257.52284,E,,
10,imei:864895033864933,tracker,220322015806,,F,235806.00,A,4035.94663,N,02257.52284,E,,
11,imei:864895033864933,tracker,220322020806,,F,000806.00,A,4035.94663,N,02257.52284,E,,
12,imei:864895033864933,tracker,220322021806,,F,001806.00,A,4035.94663,N,02257.52284,E,,
13,imei:864895033864933,tracker,220322022806,,F,002806.00,A,4035.94663,N,02257.52284,E,,
14,imei:864895033864933,tracker,220322023806,,F,003806.00,A,4035.94663,N,02257.52284,E,,
15,imei:864895033864933,tracker,220322024806,,F,004806.00,A,4035.94663,N,02257.52284,E,,
16,imei:864895033864933,tracker,220322025806,,F,005806.00,A,4035.94663,N,02257.52284,E,,
17,imei:864895033864933,tracker,220322030806,,F,010806.00,A,4035.94663,N,02257.52284,E,,
18,imei:864895033864933,tracker,220322031806,,F,011806.00,A,4035.94663,N,02257.52284,E,,
19,imei:864895033864933,tracker,220322032806,,F,012806.00,A,4035.94663,N,02257.52284,E,,
20,imei:864895033864933,tracker,220322033806,,F,013806.00,A,4035.94663,N,02257.52284,E,,
21,imei:864895033864933,tracker,220322034806,,F,014806.00,A,4035.94663,N,02257.52284,E,,
22,imei:864895033864933,tracker,220322043347,,F,023347.00,A,4035.95504,N,02257.50600,E,,
23,imei:864895033864933,tracker,220322044347,,F,024347.00,A,4035.95504,N,02257.50600,E,,
24,imei:864895033864933,tracker,220322045347,,F,025347.00,A,4035.95504,N,02257.50600,E,,
25,imei:864895033864933,tracker,220322050347,,F,030347.00,A,4035.95504,N,02257.50600,E,,
26,imei:864895033864933,tracker,220322051347,,F,031347.00,A,4035.95504,N,02257.50600,E,,
27,imei:864895033864933,tracker,220322052347,,F,032347.00,A,4035.95504,N,02257.50600,E,,
28,imei:864895033864933,tracker,220322053347,,F,033347.00,A,4035.95504,N,02257.50600,E,,
29,imei:864895033864933,tracker,220322054347,,F,034347.00,A,4035.95504,N,02257.50600,E,,
30,imei:864895033864933,tracker,220322055347,,F,035347.00,A,4035.95504,N,02257.50600,E,,
